square,price,address
370.0,2793819649,Yunusobod
456.0,2984307352,Sirg‘ali
100.0,1396909824,Sirg‘ali
200.0,3555770462,Mirobod
600.0,1777885231,Bektemir
440.0,2031868835,Yashnobod
490.0,7238532726,Mirzo-Ulug‘bek
572.0,2031868835,Bektemir
420.0,8000483539,Mirzo-Ulug‘bek
40.0,403833931,Yashnobod
300.0,863544255,Bektemir
400.0,4444713077,Mirzo-Ulug‘bek
450.0,2793819649,Yashnobod
520.0,6984549122,Mirzo-Ulug‘bek
180.0,4127233572,Mirzo-Ulug‘bek
600.0,7619508133,Sirg‘ali
350.0,6349590111,Mirzo-Ulug‘bek
593.0,2285852440,Sirg‘ali
300.0,1752486870,Yunusobod
213.0,4127233572,Mirzo-Ulug‘bek
78.0,736552453,Yashnobod
500.0,4952680286,Mirzo-Ulug‘bek
700.0,24128442420,Mirzo-Ulug‘bek
600.0,4571704880,Uchtepa
75.0,634959011,Yashnobod
600.0,2603331945,Yunusobod
200.0,2158860638,Yashnobod
250.0,5016176187,Mirzo-Ulug‘bek
800.0,3809754066,Yakkasaroy
410.0,2158860638,Yashnobod
200.0,1714389330,Shayxontohur
26.0,1650893429,Olmazor
260.0,5587639297,Mirzo-Ulug‘bek
457.0,2533486454,Olmazor
150.0,1244519662,Yunusobod
80.0,660357371,Mirobod
250.0,6794061418,Mirzo-Ulug‘bek
100.0,895292206,Mirobod
360.0,6984549122,Mirzo-Ulug‘bek
100.0,2095364736,Mirzo-Ulug‘bek
150.0,2158860638,Mirobod
80.0,1079430319,Mirobod
160.0,1777885231,Yashnobod
590.0,4647899961,Chilonzor
622.0,5079672088,Yakkasaroy
400.0,2019169655,Shayxontohur
397.0,5333655693,Yunusobod
150.0,3301786857,Yunusobod
340.0,3047803253,Yunusobod
235.0,4063737671,Yunusobod
800.0,24128442420,Mirzo-Ulug‘bek
380.0,5714631099,Mirzo-Ulug‘bek
486.0,6349590111,Yunusobod
622.0,5079672088,Yakkasaroy
382.0,4825688484,Yunusobod
250.0,1777885231,Shayxontohur
220.0,2285852440,Yunusobod
100.0,1968372934,Sirg‘ali
300.0,3174795055,Yashnobod
480.0,5714631099,Yashnobod
70.0,850000000,Yashnobod
340.0,9016417957,Mirzo-Ulug‘bek
360.0,6349590111,Mirzo-Ulug‘bek
300.0,5333655693,Yunusobod
500.0,1903607115,Olmazor
400.0,13588122836,Mirzo-Ulug‘bek
213.0,4127233572,Mirzo-Ulug‘bek
340.0,5206663891,Mirzo-Ulug‘bek
800.0,4635200781,Chilonzor
111.22,1155625400,Yakkasaroy
306.0,4190729473,Mirzo-Ulug‘bek
94.55,914340976,Mirzo-Ulug‘bek
996.0,571463110,Uchtepa
480.0,4000241770,Yunusobod
380.0,5778127001,Mirzo-Ulug‘bek
650.0,10159344177,Mirzo-Ulug‘bek
480.0,6349590111,Mirzo-Ulug‘bek
400.0,7619508133,Mirzo-Ulug‘bek
300.0,4190729473,Sirg‘ali
450.0,4570434962,Mirzo-Ulug‘bek
700.0,13461131034,Mirzo-Ulug‘bek
460.0,5778127001,Mirzo-Ulug‘bek
300.0,4189459555,Mirobod
400.0,6349590111,Shayxontohur
350.0,3289087677,Yunusobod
400.0,2666827846,Mirzo-Ulug‘bek
86.0,1866779492,Mirzo-Ulug‘bek
250.0,5016176187,Mirzo-Ulug‘bek
380.0,4444713077,Yunusobod
450.0,2412844242,Yashnobod
400.0,1244519662,Yashnobod
48.0,825446714,Yunusobod
130.0,1523901627,Mirobod
130.0,1523901627,Yashnobod
350.0,8254467144,Yakkasaroy
110.0,1269918022,Chilonzor
45.0,533365569,Sirg‘ali
220.0,1384210644,Sirg‘ali
320.0,3682762264,Chilonzor
140.0,1904877033,Yashnobod
620.0,5143167990,Yashnobod
500.0,2793819649,Yashnobod
500.0,11175278594,Mirobod
80.0,825446714,Yashnobod
800.0,6222598308,Yashnobod
213.0,4051038490,Mirzo-Ulug‘bek
230.0,4952680286,Yakkasaroy
750.0,11429262199,Mirzo-Ulug‘bek
200.0,2730323748,Yunusobod
280.0,2666827846,Mirzo-Ulug‘bek
180.0,888942615,Sirg‘ali
450.0,5776857083,Mirobod
187.0,952438517,Yunusobod
389.0,2920811451,Mirobod
360.0,5778127001,Mirzo-Ulug‘bek
300.0,3162095875,Yunusobod
350.0,4190729473,Yakkasaroy
100.0,2920811451,Shayxontohur
300.0,6349590111,Mirobod
49.0,571463110,Bektemir
380.0,6984549122,Yakkasaroy
83.0,1028633598,Yunusobod
320.0,5968614704,Mirzo-Ulug‘bek
425.0,3873249967,Yunusobod
255.0,1777885231,Chilonzor
500.0,8762434352,Mirzo-Ulug‘bek
460.0,10159344177,Yakkasaroy
500.0,8889426155,Mirzo-Ulug‘bek
500.0,5714631099,Yashnobod
